,year,sum,month,decend,dummy,hcl,hcl_ord
0,1980,14.680459315007502,9,1,1,0,0
1,1981,5.157227291808381,9,1,1,0,0
2,1982,21.62894718844693,9,1,1,0,0
3,1983,9.807794857692052,9,1,1,0,0
4,1984,30.80438647665582,9,1,1,0,0
5,1985,4.854789225133387,9,1,1,0,0
6,1986,11.836179473659733,9,1,1,0,0
7,1987,6.0329573571265165,9,1,1,0,0
8,1988,0.826261443215293,9,1,1,0,0
9,1989,17.577297758031914,9,1,1,0,0
10,1990,31.7991106417272,9,1,1,0,0
11,1991,2.0141458330335436,9,1,1,0,0
12,1992,26.647589229560875,9,1,1,0,0
13,1993,16.706556388310023,9,1,1,0,0
14,1994,8.255419223339526,9,1,1,0,0
15,1995,1.2699464977561654,9,1,1,0,0
16,1996,18.749067303184027,9,1,1,0,0
17,1997,7.574803341399659,9,1,1,0,0
18,1998,18.23366950203727,9,1,1,0,0
19,1999,8.26488758300568,9,1,1,0,0
20,2000,29.092367167001242,9,1,1,0,0
21,2001,16.371017808561678,9,1,1,0,0
22,2002,23.362781095457123,9,1,1,0,0
23,2003,18.632416071353497,9,1,1,0,0
24,2004,7.002692069207038,9,1,1,0,0
25,2005,16.439095985401163,9,1,1,0,0
26,2006,16.544041052922147,9,1,1,0,0
27,2007,1.99723701377015,9,1,1,0,0
28,2008,9.1127577580653,9,1,1,0,0
29,2009,24.47227615695614,9,1,1,0,0
30,2010,4.505073095773246,9,1,1,0,0
31,2011,4.058788507253855,9,1,1,0,0
32,2012,4.193300654004504,9,1,1,0,0
33,2013,23.474463628126788,9,1,1,0,0
34,2014,17.851163621191734,9,1,1,0,0
35,2015,5.713951918509576,9,1,1,0,0
0,1980,31.554330108406305,9,2,1,0,0
1,1981,7.53797135224471,9,2,1,0,0
2,1982,58.72100079905141,9,2,1,1,1
3,1983,22.237514090466572,9,2,1,0,0
4,1984,20.661754051526707,9,2,1,0,0
5,1985,21.178339519700803,9,2,1,0,0
6,1986,24.213635198838944,9,2,1,0,0
7,1987,14.950601550129862,9,2,1,0,0
8,1988,13.811883678445806,9,2,1,0,0
9,1989,12.048770054713353,9,2,1,0,0
10,1990,28.13375441344468,9,2,1,0,0
11,1991,35.56233656608856,9,2,1,0,0
12,1992,56.954862561497414,9,2,1,1,1
13,1993,22.963786937140085,9,2,1,0,0
14,1994,18.05080125048444,9,2,1,0,0
15,1995,32.64192595086493,9,2,1,0,0
16,1996,10.685980394765451,9,2,1,0,0
17,1997,33.189927286439605,9,2,1,0,0
18,1998,13.257289906958123,9,2,1,0,0
19,1999,40.507437349675776,9,2,1,0,0
20,2000,39.08318257689119,9,2,1,0,0
21,2001,31.734000840982596,9,2,1,0,0
22,2002,12.693088849703154,9,2,1,0,0
23,2003,14.324459770938137,9,2,1,0,0
24,2004,8.678157041361043,9,2,1,0,0
25,2005,7.525586459305617,9,2,1,0,0
26,2006,8.784607299200662,9,2,1,0,0
27,2007,11.143861348574216,9,2,1,0,0
28,2008,15.909859165683255,9,2,1,0,0
29,2009,27.333137328331762,9,2,1,0,0
30,2010,3.8025364637613057,9,2,1,0,0
31,2011,7.089197401757483,9,2,1,0,0
32,2012,16.046328244747578,9,2,1,0,0
33,2013,16.821590709400464,9,2,1,0,0
34,2014,17.43037248300863,9,2,1,0,0
35,2015,7.915743129474895,9,2,1,0,0
0,1980,43.82759913340672,9,3,1,0,0
1,1981,23.99000012100517,9,3,1,0,0
2,1982,42.78477329355139,9,3,1,0,0
3,1983,23.713336278151324,9,3,1,0,0
4,1984,34.73464082075761,9,3,1,0,0
5,1985,43.83010432293841,9,3,1,0,0
6,1986,38.0190612381393,9,3,1,0,0
7,1987,30.33608191258662,9,3,1,0,0
8,1988,9.308617810983877,9,3,1,0,0
9,1989,22.493467399766754,9,3,1,0,0
10,1990,61.75280556645427,9,3,1,1,1
11,1991,36.28687767787175,9,3,1,0,0
12,1992,51.61024455185775,9,3,1,1,1
13,1993,34.0877961793265,9,3,1,0,0
14,1994,33.814172281966464,9,3,1,0,0
15,1995,18.04035904810026,9,3,1,0,0
