,cell,lon,lat,month,decend,sum,geometry
0,5,-52.875,-9.875,9,1,13.993304451306662,POINT (-5886018.07569434 -1104763.084013848)
1,5,-52.875,-9.875,9,2,28.597208976745605,POINT (-5886018.07569434 -1104763.084013848)
2,5,-52.875,-9.875,9,3,37.45251062181261,POINT (-5886018.07569434 -1104763.084013848)
3,5,-52.875,-9.875,10,1,48.20280000898573,POINT (-5886018.07569434 -1104763.084013848)
4,5,-52.875,-9.875,10,2,54.76337220933702,POINT (-5886018.07569434 -1104763.084013848)
5,5,-52.875,-9.875,10,3,75.34844766722784,POINT (-5886018.07569434 -1104763.084013848)
6,6,-52.625,-9.875,9,1,15.19773366716173,POINT (-5858188.202996022 -1104763.084013848)
7,6,-52.625,-9.875,9,2,28.841396119859482,POINT (-5858188.202996022 -1104763.084013848)
8,6,-52.625,-9.875,9,3,37.19033013449775,POINT (-5858188.202996022 -1104763.084013848)
9,6,-52.625,-9.875,10,1,47.627104653252495,POINT (-5858188.202996022 -1104763.084013848)
10,6,-52.625,-9.875,10,2,53.26456048753526,POINT (-5858188.202996022 -1104763.084013848)
11,6,-52.625,-9.875,10,3,77.8745829264323,POINT (-5858188.202996022 -1104763.084013848)
12,7,-52.375,-9.875,9,1,13.749459160698784,POINT (-5830358.330297703 -1104763.084013848)
13,7,-52.375,-9.875,9,2,27.846728854709202,POINT (-5830358.330297703 -1104763.084013848)
14,7,-52.375,-9.875,9,3,35.48163021935357,POINT (-5830358.330297703 -1104763.084013848)
15,7,-52.375,-9.875,10,1,46.936850441826714,POINT (-5830358.330297703 -1104763.084013848)
16,7,-52.375,-9.875,10,2,52.27419090270996,POINT (-5830358.330297703 -1104763.084013848)
17,7,-52.375,-9.875,10,3,76.57116603851318,POINT (-5830358.330297703 -1104763.084013848)
18,8,-52.125,-9.875,9,1,13.11088874604967,POINT (-5802528.457599385 -1104763.084013848)
19,8,-52.125,-9.875,9,2,25.11952061123318,POINT (-5802528.457599385 -1104763.084013848)
20,8,-52.125,-9.875,9,3,32.80094740125868,POINT (-5802528.457599385 -1104763.084013848)
21,8,-52.125,-9.875,10,1,44.75533358256022,POINT (-5802528.457599385 -1104763.084013848)
